production_id,factory_id,machine_id,product_id,production_date,target_units,actual_units,downtime_minutes,defects,shift
197,16,748,246,2026-01-23,840,629,63,9,Morning
198,18,870,352,2026-04-04,838,633,42,24,Evening
199,16,582,330,2025-07-22,1026,635,0,17,Morning
200,16,477,361,2025-10-06,1186,760,16,19,Evening
201,1,711,406,2025-12-03,894,880,91,1,Morning
202,20,31,362,2025-09-03,880,877,94,1,Night
203,21,551,451,2026-02-04,1069,1041,54,20,Evening
204,25,254,468,2026-06-21,1082,1069,84,9,Morning
205,3,537,422,2025-11-24,851,663,77,25,Evening
206,23,942,403,2026-03-07,1037,741,46,14,Night
207,1,682,168,2026-03-29,807,806,38,17,Morning
208,6,583,144,2026-01-10,902,789,28,10,Night
209,3,316,276,2025-12-15,1174,855,107,25,Evening
210,11,596,81,2026-02-05,1033,806,83,2,Evening
211,8,750,487,2025-10-02,947,807,88,25,Night
212,22,673,427,2026-02-17,903,654,24,20,Evening
213,15,762,226,2026-01-27,1151,1057,83,1,Night
214,1,932,249,2026-04-22,1046,616,112,2,Evening
215,11,835,400,2026-01-20,983,607,17,2,Night
216,13,422,476,2025-10-29,895,745,70,17,Night
217,20,219,253,2026-05-23,909,838,101,10,Evening
218,5,163,474,2025-06-21,972,609,18,24,Morning
219,4,787,202,2025-07-09,1176,1089,97,0,Night
220,15,29,412,2025-10-24,1045,652,77,20,Evening
221,7,824,371,2026-04-03,1043,1037,43,17,Night
222,6,264,76,2026-04-09,933,670,37,0,Evening
223,25,953,218,2026-01-07,1105,996,18,20,Morning
224,5,893,217,2026-05-30,1071,757,39,4,Evening
225,15,517,40,2025-09-18,1056,1054,86,25,Evening
226,25,732,32,2026-04-27,1023,659,7,4,Morning
227,13,155,343,2026-03-30,1029,966,78,21,Morning
228,11,862,29,2026-05-10,1031,769,6,18,Night
229,9,213,124,2025-12-18,996,836,89,20,Evening
230,3,378,414,2025-11-24,915,615,85,20,Evening
231,5,481,82,2026-03-12,814,803,119,7,Evening
232,25,475,430,2026-05-19,964,654,34,3,Morning
233,6,301,342,2025-11-03,801,760,46,19,Evening
234,11,866,481,2026-02-11,830,668,107,3,Night
235,15,182,244,2025-10-22,937,630,7,19,Evening
236,25,595,243,2026-06-01,915,896,93,9,Evening
237,15,129,354,2026-01-10,803,699,59,20,Morning
238,14,48,440,2025-08-13,838,718,15,4,Morning
239,3,452,299,2025-07-11,834,629,43,8,Evening
240,24,88,203,2026-01-05,887,684,33,4,Morning
241,13,277,288,2026-02-01,938,804,92,21,Evening
242,14,795,189,2026-02-04,810,799,114,11,Evening
243,11,344,443,2026-06-11,985,849,65,14,Evening
244,5,276,255,2026-05-08,1137,1137,80,4,Night
245,12,636,116,2026-06-06,1095,689,46,9,Night
246,3,773,118,2025-07-08,972,906,108,12,Morning
247,20,58,11,2025-08-20,1082,869,33,20,Evening
248,15,517,308,2026-06-05,937,726,9,14,Morning
249,6,107,19,2025-08-29,937,735,26,16,Evening
250,7,264,84,2026-05-28,813,660,104,15,Morning
251,12,333,124,2025-12-21,940,817,58,18,Night
252,16,7,164,2026-05-24,1133,927,112,13,Night
253,15,700,94,2025-09-11,894,767,51,16,Morning
254,25,633,296,2025-09-30,1167,695,111,3,Night
255,9,129,263,2025-08-25,1060,724,98,21,Night
256,12,537,205,2025-12-15,968,866,1,25,Evening
257,25,546,367,2025-09-27,1023,1023,11,24,Evening
258,2,580,382,2025-08-29,915,879,96,19,Night
259,1,731,460,2025-11-26,1156,773,52,14,Morning
260,1,169,88,2026-01-31,1148,1040,85,0,Night
261,18,446,380,2025-10-29,1109,699,13,3,Night
262,2,214,269,2025-10-08,1195,1152,2,3,Morning
263,22,942,291,2026-06-07,817,722,25,16,Morning
264,15,818,6,2025-10-29,862,726,73,12,Night
265,23,784,352,2025-06-27,1051,698,7,15,Morning
266,25,243,147,2025-09-23,1173,750,2,17,Morning
267,3,694,321,2025-10-26,1169,993,51,14,Morning
268,24,594,119,2025-09-23,1007,717,118,21,Morning
269,8,338,250,2026-04-07,894,742,60,10,Evening
270,22,704,231,2025-09-30,848,793,37,16,Night
271,25,219,26,2026-06-17,894,638,71,18,Night
272,2,245,281,2026-04-18,1163,623,95,0,Night
273,19,900,66,2025-12-20,1130,1104,109,12,Morning
274,16,492,377,2026-02-26,1100,700,21,22,Morning
275,5,323,28,2026-03-03,989,937,2,14,Evening
276,23,887,496,2026-06-10,922,720,83,2,Evening
277,4,308,258,2026-05-04,1001,920,49,12,Morning
278,15,883,160,2026-02-21,803,768,52,15,Evening
279,7,543,239,2025-08-31,943,777,104,12,Evening
280,18,68,461,2026-03-24,956,683,76,1,Morning
281,1,239,96,2026-04-22,1009,964,19,5,Night
282,1,721,372,2026-05-13,919,847,73,1,Night
283,20,215,67,2026-05-12,880,626,40,0,Evening
284,6,627,9,2025-07-12,1078,757,112,15,Morning
285,7,326,219,2026-02-08,1032,788,17,9,Night
286,10,488,120,2025-10-01,1063,748,97,12,Night
287,15,598,272,2026-03-05,1060,867,94,6,Morning
288,14,747,296,2025-12-16,843,600,61,5,Night
289,19,384,166,2026-02-27,840,637,67,22,Night
290,12,951,316,2026-04-17,935,784,80,14,Evening
291,4,455,236,2025-09-25,1139,990,50,11,Morning
292,10,918,33,2025-10-28,1179,974,14,19,Night
293,25,410,142,2026-01-20,913,711,81,5,Evening
294,21,820,22,2026-01-30,1013,724,10,16,Morning
295,12,160,238,2025-11-21,887,836,91,18,Evening
296,15,356,425,2025-10-06,813,793,114,19,Evening
297,8,127,380,2025-09-09,1028,650,114,11,Night
298,7,362,491,2025-10-14,980,880,99,13,Morning
299,10,278,353,2025-10-21,849,716,8,11,Night
300,4,812,175,2026-04-25,1010,677,100,15,Night
301,17,45,491,2026-02-03,949,687,58,2,Morning
302,25,730,153,2025-11-02,1138,855,6,1,Evening
303,9,453,337,2026-02-21,900,723,47,19,Evening
304,12,932,41,2026-04-07,1047,961,26,14,Evening
305,24,173,233,2025-08-18,910,651,23,25,Night
306,16,484,28,2025-10-08,1049,1012,75,11,Morning
307,4,46,31,2026-02-10,1155,606,4,1,Evening
308,16,390,1,2025-12-29,947,673,46,16,Morning
309,8,1000,495,2025-08-10,1178,844,4,17,Evening
310,13,470,96,2025-09-24,844,710,72,4,Evening
311,8,74,376,2026-06-15,897,605,110,25,Morning
312,20,285,356,2025-12-10,854,617,116,21,Evening
313,11,285,481,2025-10-17,1076,746,33,19,Morning
314,9,240,53,2026-05-31,1081,1073,45,19,Evening
315,23,128,450,2025-08-02,1120,639,39,16,Night
316,13,783,241,2025-11-15,1113,708,29,10,Night
317,10,962,91,2026-06-20,879,612,85,5,Evening
318,5,483,36,2025-08-06,1181,1085,98,17,Night
319,12,685,493,2026-06-02,1083,854,60,11,Evening
320,5,304,119,2026-03-09,950,942,57,8,Morning
321,11,687,220,2025-12-19,1009,740,99,21,Morning
322,11,996,151,2026-02-04,900,686,77,19,Night
323,3,874,474,2026-01-23,823,664,34,11,Morning
324,19,741,441,2026-02-21,1073,823,67,4,Morning
325,20,990,306,2026-05-29,870,616,45,24,Evening
326,15,847,464,2026-03-04,860,702,103,5,Morning
327,22,661,305,2026-05-19,963,607,85,2,Night
328,3,377,461,2025-09-10,1041,972,73,8,Morning
329,17,733,298,2026-01-09,933,786,22,14,Morning
330,14,663,26,2025-11-17,1007,996,35,0,Night
331,18,558,25,2025-07-05,1068,876,5,0,Night
332,19,206,206,2026-03-23,1098,986,56,20,Morning
333,23,466,319,2026-03-25,974,807,46,19,Evening
334,19,312,330,2025-08-18,908,771,30,4,Evening
335,8,540,309,2025-08-31,890,699,107,2,Morning
336,4,987,137,2026-02-10,881,630,44,15,Morning
337,25,551,279,2025-11-12,1044,861,15,12,Morning
338,20,36,127,2025-07-10,911,891,25,1,Night
339,24,933,227,2025-10-17,818,668,13,18,Evening
340,1,480,494,2025-10-15,1029,784,29,18,Morning
341,20,96,115,2026-03-02,1074,895,37,5,Evening
342,13,263,448,2026-03-10,803,618,108,7,Morning
343,13,535,1,2026-03-12,909,903,17,22,Morning
344,13,131,51,2026-04-16,1119,661,69,25,Morning
345,5,908,329,2025-10-24,1022,826,22,25,Morning
346,24,76,76,2025-09-24,1070,1019,2,23,Evening
347,24,961,207,2025-06-22,937,608,96,24,Morning
348,14,773,64,2026-04-24,854,744,108,22,Evening
349,21,727,281,2025-10-04,993,948,106,4,Night
350,2,203,379,2025-10-09,866,802,96,10,Evening
351,4,866,157,2025-09-28,1120,845,85,10,Evening
352,13,426,418,2025-10-18,824,616,90,11,Night
353,22,669,324,2025-11-26,1135,792,73,11,Morning
354,3,671,257,2026-06-06,881,672,14,20,Evening
355,18,199,40,2025-09-23,1119,740,89,2,Evening
356,1,922,26,2025-07-06,1145,1033,78,20,Night
357,1,968,164,2025-12-23,834,669,98,17,Night
358,22,26,100,2026-06-14,883,761,3,8,Evening
359,15,709,215,2025-08-29,1096,634,59,22,Night
360,11,584,173,2026-01-12,820,776,41,8,Evening
361,2,38,254,2025-08-21,869,746,110,17,Morning
362,19,472,500,2025-11-20,884,743,67,25,Night
363,2,685,268,2025-08-09,1067,763,88,25,Morning
364,8,866,321,2025-11-13,859,705,119,5,Night
365,7,564,423,2025-06-25,1151,869,52,13,Night
366,10,341,139,2025-09-29,829,672,116,11,Night
367,14,994,233,2025-08-15,955,737,22,4,Night
368,4,958,222,2025-12-25,1167,1031,12,15,Night
369,20,424,347,2025-11-03,966,842,50,20,Night
370,20,19,171,2025-08-15,850,600,89,24,Morning
371,8,758,5,2025-06-25,951,929,8,17,Evening
372,4,769,25,2026-03-30,882,725,54,7,Night
373,20,765,458,2025-08-08,1024,628,4,5,Morning
374,3,424,94,2025-11-24,1077,624,60,21,Morning
375,4,503,435,2026-02-16,854,775,33,5,Evening
376,4,218,153,2026-06-07,1199,1013,44,3,Evening
377,25,987,29,2025-08-04,1161,758,53,17,Night
378,20,652,182,2026-02-16,827,820,58,9,Morning
379,24,508,177,2025-11-26,874,623,53,18,Night
380,11,972,152,2026-01-01,963,839,53,0,Evening
381,18,53,251,2026-04-01,830,801,66,18,Morning
382,14,744,443,2026-02-26,861,818,105,4,Night
383,17,694,117,2025-12-01,959,742,44,20,Morning
384,16,407,13,2026-04-19,1047,871,107,11,Morning
385,1,666,132,2026-06-18,1153,837,61,7,Night
386,13,319,394,2026-04-08,927,858,20,10,Morning
387,17,727,492,2025-12-24,861,682,83,1,Evening
388,11,279,299,2025-07-26,1091,762,116,19,Morning
389,17,909,497,2026-02-16,1200,943,9,10,Night
390,5,627,67,2026-04-04,1078,750,72,6,Morning
391,15,965,286,2026-05-11,1113,852,98,0,Morning
392,16,255,170,2026-06-17,847,804,55,20,Night
393,16,733,460,2026-02-26,1105,850,94,5,Evening
394,12,641,63,2025-07-05,902,788,24,13,Night
395,24,372,182,2025-11-27,1191,926,50,11,Night
396,16,623,431,2025-06-25,1191,740,13,18,Morning
397,8,389,59,2026-02-23,1039,853,40,22,Night
398,12,980,110,2025-09-10,853,615,26,6,Night
399,12,275,332,2025-12-29,1175,1152,48,17,Morning
400,17,547,175,2026-02-27,968,866,93,13,Morning
401,11,943,295,2025-12-04,945,663,44,14,Evening
402,12,281,271,2026-03-02,932,845,109,13,Night
403,21,179,231,2025-10-14,1110,957,74,10,Morning
404,23,436,262,2025-12-13,1022,874,97,19,Morning
405,4,626,378,2025-12-09,878,793,43,1,Morning
406,2,695,485,2025-09-25,1159,859,96,0,Evening
407,4,832,500,2026-03-26,821,733,103,12,Morning
408,19,945,55,2025-11-03,858,671,118,7,Evening
409,10,162,4,2026-04-30,1136,896,100,25,Morning
410,11,655,26,2026-04-20,1179,1021,117,7,Evening
411,22,876,210,2025-11-20,808,688,29,15,Morning
412,4,172,36,2025-06-24,1198,771,118,3,Morning
413,3,603,188,2025-10-26,858,673,44,2,Night
414,4,937,139,2025-09-17,817,703,9,5,Morning
415,4,779,71,2025-08-11,832,676,80,5,Morning
416,6,903,387,2025-12-03,986,878,3,8,Evening
417,7,544,444,2026-05-21,1179,983,88,15,Morning
418,5,660,401,2026-04-01,996,975,80,4,Morning
419,19,667,234,2026-04-10,899,742,51,10,Evening
420,5,184,209,2026-06-09,1146,886,104,23,Morning
421,17,858,31,2025-08-01,1041,629,93,14,Morning
422,1,301,449,2025-09-14,1019,830,13,9,Night
423,19,734,351,2026-02-20,934,792,74,8,Morning
424,12,972,305,2026-05-09,1102,841,45,20,Evening
425,4,800,11,2026-02-17,956,800,108,14,Night
426,12,803,56,2026-02-25,1166,674,83,3,Evening
427,4,747,400,2026-01-26,955,618,65,17,Night
428,23,449,276,2025-12-29,1102,783,32,11,Night
429,12,932,313,2025-12-19,1129,1109,96,16,Evening
430,3,669,238,2025-10-17,1038,911,84,17,Evening
431,22,219,433,2025-10-09,998,966,24,21,Evening
432,23,260,74,2026-01-17,1079,764,104,1,Night
433,10,517,131,2025-07-19,937,614,61,5,Evening
434,21,467,404,2026-06-15,889,822,5,23,Evening
435,19,624,157,2026-06-17,1117,1088,84,3,Night
436,11,403,64,2025-11-05,840,783,89,0,Morning
437,20,259,77,2026-04-08,889,720,89,5,Morning
438,1,123,91,2025-12-06,824,619,86,22,Night
439,22,462,300,2025-07-21,839,617,88,21,Night
440,13,795,477,2025-09-29,1191,813,8,3,Night
441,6,269,226,2026-01-31,851,809,60,1,Evening
442,14,381,339,2025-06-22,875,788,14,15,Morning
443,1,922,87,2026-01-08,1101,1034,4,15,Night
444,2,426,38,2025-07-07,1154,1064,99,24,Morning
445,19,918,66,2026-04-02,912,760,25,6,Evening
446,3,196,384,2025-12-13,847,705,59,24,Morning
447,9,223,387,2025-08-13,1174,1137,24,7,Night
448,24,40,170,2025-10-27,963,788,98,15,Night
449,9,780,357,2025-06-25,875,801,109,19,Morning
450,6,803,485,2025-08-27,830,712,63,15,Evening
451,7,392,448,2026-02-20,900,722,100,9,Evening
452,9,342,300,2026-05-03,855,757,32,25,Evening
453,9,699,19,2026-02-11,1072,629,18,21,Night
454,5,385,449,2025-12-10,961,613,74,15,Night
455,18,117,399,2026-05-17,951,877,107,4,Evening
456,22,954,479,2025-09-06,946,612,62,21,Evening
457,7,907,14,2026-05-26,990,907,38,14,Evening
458,13,271,447,2026-03-11,968,963,116,2,Morning
459,17,986,251,2025-09-25,1010,652,63,22,Morning
460,23,866,109,2026-02-16,1000,679,5,1,Morning
461,14,523,1,2026-03-01,992,873,88,2,Evening
462,20,719,468,2025-12-18,954,939,9,20,Evening
463,16,19,45,2025-09-15,804,696,62,16,Morning
464,8,873,211,2025-11-30,1090,832,57,25,Night
465,21,782,14,2025-11-21,816,724,39,24,Evening
466,14,703,31,2026-03-07,858,774,28,2,Morning
467,20,391,17,2025-08-31,1003,757,30,22,Evening
468,6,222,335,2025-09-01,1198,1109,72,25,Evening
469,1,209,266,2025-10-10,1013,733,64,25,Morning
470,5,319,259,2025-12-05,1040,795,105,20,Night
471,15,965,435,2026-05-10,917,797,11,7,Evening
472,6,240,44,2026-03-20,882,757,64,23,Morning
473,16,172,109,2026-03-15,844,690,94,21,Morning
474,7,708,401,2025-09-18,807,633,95,0,Night
475,5,453,88,2025-12-31,1116,655,21,25,Evening
476,19,104,30,2025-10-29,1085,956,45,15,Night
477,14,56,234,2026-02-11,945,832,55,19,Morning
478,5,764,344,2026-04-17,889,610,82,18,Evening
479,12,726,402,2025-12-24,1091,751,97,18,Morning
480,9,672,59,2026-04-23,894,611,97,24,Evening
481,1,56,242,2026-05-24,1019,799,87,3,Morning
482,17,720,465,2026-05-02,1008,930,44,6,Evening
483,7,193,149,2025-07-09,1100,720,90,7,Evening
484,17,487,364,2026-05-23,1142,1039,56,5,Morning
485,3,701,364,2025-10-31,1125,728,60,11,Night
486,3,651,421,2025-09-08,874,830,70,10,Night
487,4,334,177,2025-06-23,809,625,100,3,Morning
488,20,629,485,2026-06-01,1059,876,27,0,Morning
489,22,702,30,2025-07-28,850,796,56,14,Evening
490,9,233,465,2025-10-11,1144,682,52,22,Night
491,7,81,413,2026-01-08,835,811,61,23,Evening
492,3,679,310,2025-07-17,1129,1003,66,3,Morning
493,1,360,149,2026-06-07,1114,983,62,10,Morning
494,22,699,410,2026-05-12,1118,1056,79,10,Night
495,25,924,361,2026-01-30,1008,933,71,7,Night
496,9,122,239,2025-09-22,942,823,2,22,Morning
497,15,670,106,2026-02-20,885,680,111,18,Morning
498,24,144,176,2026-03-17,889,731,29,14,Evening
499,4,326,141,2025-09-04,809,772,2,10,Morning
500,16,326,341,2025-10-01,984,976,104,11,Evening
501,14,335,117,2026-02-25,847,711,117,20,Morning
502,21,500,7,2026-01-19,1116,946,58,25,Night
503,4,398,224,2025-06-28,864,749,92,25,Night
504,13,788,268,2026-06-15,1061,997,12,2,Evening
505,20,97,54,2026-02-08,1146,811,31,25,Morning
506,4,186,389,2026-06-09,1161,944,26,6,Morning
507,25,177,208,2025-08-20,953,622,120,24,Evening
508,21,748,125,2026-03-25,1011,971,44,24,Evening
509,6,62,347,2025-08-11,1145,879,52,9,Night
510,14,731,136,2026-02-23,1079,948,109,10,Night
